Timestamp,CPU_User,CPU_System,CPU_Idle,CPU_IOWait,Mem_Free_GB,Mem_Used_GB,Num_Processes,CPU_Frequency,Avg_Process_Size_KB,Power_Consumption,CPU_Utilization,GPU_Utilization
2024-06-05 11:49:20,1,1,98,0,495.58,2.31,868,1200.799,4.01,33.87,"CPU0: 0.00% CPU1: 0.00% CPU2: 0.00% CPU3: 0.00% CPU4: 0.00% CPU5: 0.00% CPU6: 0.00% CPU7: 0.00% CPU8: 0.00% CPU9: 0.00% CPU10: 0.00% CPU11: 1.00% CPU12: 0.00% CPU13: 0.00% CPU14: 0.00% CPU15: 0.00% CPU16: 0.00% CPU17: 0.00% CPU18: 0.00% CPU19: 1.00% CPU20: 0.00% CPU21: 2.00% CPU22: 4.00% CPU23: 0.00% CPU24: 0.00% CPU25: 0.00% CPU26: 0.00% CPU27: 6.00% CPU28: 7.00% CPU29: 0.00% CPU30: 0.00% CPU31: 1.00% CPU32: 0.00% CPU33: 20.00% CPU34: 2.00% CPU35: 0.00% CPU36: 0.00% CPU37: 0.00% CPU38: 0.00% CPU39: 0.00% CPU40: 0.00% CPU41: 0.00% CPU42: 0.00% CPU43: 0.00% CPU44: 0.00% CPU45: 0.00% CPU46: 0.00% CPU47: 0.00% CPU48: 69.00% CPU49: 0.00% CPU50: 0.00% CPU51: 0.00% CPU52: 0.00% CPU53: 0.00% CPU54: 5.00% CPU55: 0.00% CPU56: 0.00% CPU57: 0.00% CPU58: 13.00% CPU59: 0.00% CPU60: 0.00% CPU61: 0.00% CPU62: 64.00% CPU63: 0.00% CPU64: 0.00% CPU65: 6.00% CPU66: 0.00% CPU67: 4.00% CPU68: 0.00% CPU69: 1.00% CPU70: 0.00% CPU71: 0.00%",Failed to initialize NVML: Driver/library version mismatch
2024-06-05 11:49:28,1,0,99,0,495.59,2.31,868,1200.445,4.01,43.28,"CPU0: 0.00% CPU1: 0.00% CPU2: 0.00% CPU3: 0.00% CPU4: 0.00% CPU5: 0.00% CPU6: 0.00% CPU7: 0.00% CPU8: 0.00% CPU9: 0.00% CPU10: 0.00% CPU11: 0.00% CPU12: 0.00% CPU13: 0.00% CPU14: 0.00% CPU15: 0.00% CPU16: 0.00% CPU17: 0.00% CPU18: 1.00% CPU19: 0.00% CPU20: 0.00% CPU21: 1.00% CPU22: 0.00% CPU23: 0.00% CPU24: 0.00% CPU25: 0.00% CPU26: 0.00% CPU27: 0.00% CPU28: 0.00% CPU29: 0.00% CPU30: 0.00% CPU31: 0.00% CPU32: 1.00% CPU33: 1.00% CPU34: 2.00% CPU35: 0.00% CPU36: 0.00% CPU37: 0.00% CPU38: 0.00% CPU39: 0.00% CPU40: 0.00% CPU41: 0.00% CPU42: 0.00% CPU43: 0.00% CPU44: 0.00% CPU45: 0.00% CPU46: 0.00% CPU47: 0.00% CPU48: 100.00% CPU49: 0.00% CPU50: 0.00% CPU51: 0.00% CPU52: 0.00% CPU53: 0.00% CPU54: 0.00% CPU55: 0.00% CPU56: 0.00% CPU57: 1.00% CPU58: 0.00% CPU59: 0.00% CPU60: 0.00% CPU61: 0.00% CPU62: 0.00% CPU63: 1.00% CPU64: 0.00% CPU65: 0.00% CPU66: 0.00% CPU67: 0.00% CPU68: 0.00% CPU69: 0.00% CPU70: 0.00% CPU71: 0.00%",Failed to initialize NVML: Driver/library version mismatch
2024-06-05 11:49:36,1,0,99,0,495.59,2.31,868,1203.286,4.01,42.30,"CPU0: 0.00% CPU1: 0.00% CPU2: 0.00% CPU3: 0.00% CPU4: 0.00% CPU5: 0.00% CPU6: 0.00% CPU7: 0.00% CPU8: 0.00% CPU9: 0.00% CPU10: 0.00% CPU11: 0.00% CPU12: 0.00% CPU13: 0.00% CPU14: 0.00% CPU15: 0.00% CPU16: 0.00% CPU17: 0.00% CPU18: 0.00% CPU19: 0.00% CPU20: 0.00% CPU21: 0.00% CPU22: 0.00% CPU23: 0.00% CPU24: 0.00% CPU25: 0.00% CPU26: 0.00% CPU27: 0.00% CPU28: 0.00% CPU29: 0.00% CPU30: 0.00% CPU31: 0.00% CPU32: 1.00% CPU33: 0.00% CPU34: 0.00% CPU35: 0.00% CPU36: 0.00% CPU37: 0.00% CPU38: 0.00% CPU39: 0.00% CPU40: 0.00% CPU41: 0.00% CPU42: 0.00% CPU43: 0.00% CPU44: 0.00% CPU45: 0.00% CPU46: 0.00% CPU47: 0.00% CPU48: 100.00% CPU49: 0.00% CPU50: 0.00% CPU51: 0.00% CPU52: 0.00% CPU53: 0.00% CPU54: 0.00% CPU55: 0.00% CPU56: 0.00% CPU57: 0.00% CPU58: 0.00% CPU59: 0.00% CPU60: 0.00% CPU61: 0.00% CPU62: 0.00% CPU63: 0.00% CPU64: 0.00% CPU65: 0.00% CPU66: 0.00% CPU67: 0.00% CPU68: 0.00% CPU69: 2.00% CPU70: 2.00% CPU71: 0.00%",Failed to initialize NVML: Driver/library version mismatch
2024-06-05 11:49:44,1,0,99,0,495.59,2.31,866,1200.522,4.01,43.09,"CPU0: 0.00% CPU1: 0.00% CPU2: 0.00% CPU3: 0.00% CPU4: 0.00% CPU5: 0.00% CPU6: 0.00% CPU7: 0.00% CPU8: 0.00% CPU9: 0.00% CPU10: 0.00% CPU11: 0.00% CPU12: 0.00% CPU13: 0.00% CPU14: 0.00% CPU15: 0.00% CPU16: 0.00% CPU17: 0.00% CPU18: 0.00% CPU19: 0.00% CPU20: 0.00% CPU21: 0.00% CPU22: 0.00% CPU23: 0.00% CPU24: 0.00% CPU25: 0.00% CPU26: 0.00% CPU27: 0.00% CPU28: 0.00% CPU29: 0.00% CPU30: 0.00% CPU31: 0.00% CPU32: 0.00% CPU33: 0.00% CPU34: 0.00% CPU35: 0.00% CPU36: 0.00% CPU37: 0.00% CPU38: 0.00% CPU39: 0.00% CPU40: 0.00% CPU41: 0.00% CPU42: 0.00% CPU43: 0.00% CPU44: 0.00% CPU45: 0.00% CPU46: 0.00% CPU47: 0.00% CPU48: 100.00% CPU49: 0.00% CPU50: 0.00% CPU51: 0.00% CPU52: 0.00% CPU53: 0.00% CPU54: 0.00% CPU55: 0.00% CPU56: 0.00% CPU57: 0.00% CPU58: 0.00% CPU59: 0.00% CPU60: 0.00% CPU61: 0.00% CPU62: 0.00% CPU63: 0.00% CPU64: 0.00% CPU65: 0.00% CPU66: 0.00% CPU67: 0.00% CPU68: 0.00% CPU69: 0.00% CPU70: 0.00% CPU71: 0.00%",Failed to initialize NVML: Driver/library version mismatch
2024-06-05 11:49:52,1,0,99,0,495.59,2.31,867,1200.503,4.03,43.14,"CPU0: 0.00% CPU1: 0.00% CPU2: 0.00% CPU3: 0.00% CPU4: 0.00% CPU5: 0.00% CPU6: 0.00% CPU7: 0.00% CPU8: 0.00% CPU9: 0.00% CPU10: 0.00% CPU11: 0.00% CPU12: 0.00% CPU13: 0.00% CPU14: 0.00% CPU15: 0.00% CPU16: 0.00% CPU17: 0.00% CPU18: 0.00% CPU19: 0.00% CPU20: 0.00% CPU21: 0.00% CPU22: 0.00% CPU23: 0.00% CPU24: 0.00% CPU25: 0.00% CPU26: 0.00% CPU27: 0.00% CPU28: 0.00% CPU29: 0.00% CPU30: 0.00% CPU31: 0.00% CPU32: 0.00% CPU33: 0.00% CPU34: 0.00% CPU35: 0.00% CPU36: 0.00% CPU37: 0.00% CPU38: 0.00% CPU39: 0.00% CPU40: 0.00% CPU41: 0.00% CPU42: 1.00% CPU43: 0.00% CPU44: 0.00% CPU45: 0.00% CPU46: 0.00% CPU47: 0.00% CPU48: 100.00% CPU49: 0.00% CPU50: 0.00% CPU51: 0.00% CPU52: 0.00% CPU53: 0.00% CPU54: 0.00% CPU55: 0.00% CPU56: 0.00% CPU57: 0.00% CPU58: 0.00% CPU59: 0.00% CPU60: 0.00% CPU61: 0.00% CPU62: 0.00% CPU63: 0.00% CPU64: 0.00% CPU65: 0.00% CPU66: 0.00% CPU67: 0.00% CPU68: 0.00% CPU69: 0.00% CPU70: 0.00% CPU71: 0.00%",Failed to initialize NVML: Driver/library version mismatch
2024-06-05 11:50:01,1,0,99,0,495.58,2.33,867,1200.629,4.03,43.15,"CPU0: 0.00% CPU1: 0.00% CPU2: 0.00% CPU3: 0.00% CPU4: 0.00% CPU5: 0.00% CPU6: 0.00% CPU7: 0.00% CPU8: 0.00% CPU9: 0.00% CPU10: 0.00% CPU11: 0.00% CPU12: 0.00% CPU13: 0.00% CPU14: 0.00% CPU15: 0.00% CPU16: 0.00% CPU17: 0.00% CPU18: 0.00% CPU19: 0.00% CPU20: 0.00% CPU21: 0.00% CPU22: 0.00% CPU23: 0.00% CPU24: 0.00% CPU25: 0.00% CPU26: 0.00% CPU27: 0.00% CPU28: 0.00% CPU29: 0.00% CPU30: 0.00% CPU31: 0.00% CPU32: 0.00% CPU33: 0.00% CPU34: 0.00% CPU35: 0.00% CPU36: 0.00% CPU37: 0.00% CPU38: 0.00% CPU39: 0.00% CPU40: 0.00% CPU41: 0.00% CPU42: 0.00% CPU43: 0.00% CPU44: 0.00% CPU45: 0.00% CPU46: 0.00% CPU47: 0.00% CPU48: 100.00% CPU49: 0.00% CPU50: 0.00% CPU51: 0.00% CPU52: 0.00% CPU53: 0.00% CPU54: 0.00% CPU55: 0.00% CPU56: 0.00% CPU57: 0.00% CPU58: 0.00% CPU59: 0.00% CPU60: 0.00% CPU61: 0.00% CPU62: 0.00% CPU63: 0.00% CPU64: 0.00% CPU65: 0.00% CPU66: 0.00% CPU67: 0.00% CPU68: 0.00% CPU69: 0.00% CPU70: 0.00% CPU71: 0.00%",Failed to initialize NVML: Driver/library version mismatch
2024-06-05 11:50:09,5,1,94,0,495.31,2.58,942,1200.239,4.81,46.74,"CPU0: 57.00% CPU1: 1.00% CPU2: 0.00% CPU3: 0.00% CPU4: 0.00% CPU5: 0.00% CPU6: 0.00% CPU7: 0.00% CPU8: 0.00% CPU9: 0.00% CPU10: 0.00% CPU11: 0.00% CPU12: 0.00% CPU13: 0.00% CPU14: 0.00% CPU15: 0.00% CPU16: 0.00% CPU17: 0.00% CPU18: 1.00% CPU19: 0.00% CPU20: 0.00% CPU21: 10.00% CPU22: 14.00% CPU23: 4.00% CPU24: 0.00% CPU25: 0.00% CPU26: 0.00% CPU27: 0.00% CPU28: 0.00% CPU29: 0.00% CPU30: 0.00% CPU31: 3.00% CPU32: 0.00% CPU33: 5.00% CPU34: 0.00% CPU35: 0.00% CPU36: 0.00% CPU37: 0.00% CPU38: 0.00% CPU39: 0.00% CPU40: 0.00% CPU41: 0.00% CPU42: 0.00% CPU43: 0.00% CPU44: 0.00% CPU45: 0.00% CPU46: 0.00% CPU47: 0.00% CPU48: 100.00% CPU49: 0.00% CPU50: 0.00% CPU51: 0.00% CPU52: 0.00% CPU53: 0.00% CPU54: 0.00% CPU55: 4.00% CPU56: 1.00% CPU57: 0.00% CPU58: 0.00% CPU59: 1.00% CPU60: 0.00% CPU61: 0.00% CPU62: 0.00% CPU63: 0.00% CPU64: 0.00% CPU65: 0.00% CPU66: 4.00% CPU67: 2.00% CPU68: 0.00% CPU69: 5.00% CPU70: 0.00% CPU71: 1.00%",Failed to initialize NVML: Driver/library version mismatch
2024-06-05 11:50:17,1,0,99,0,495.04,2.82,940,1200.415,5.13,43.33,"CPU0: 0.00% CPU1: 0.00% CPU2: 0.00% CPU3: 2.00% CPU4: 0.00% CPU5: 0.00% CPU6: 0.00% CPU7: 0.00% CPU8: 0.00% CPU9: 0.00% CPU10: 0.00% CPU11: 1.00% CPU12: 0.00% CPU13: 0.00% CPU14: 0.00% CPU15: 0.00% CPU16: 0.00% CPU17: 0.00% CPU18: 0.00% CPU19: 0.00% CPU20: 0.00% CPU21: 0.00% CPU22: 0.00% CPU23: 0.00% CPU24: 0.00% CPU25: 2.00% CPU26: 0.00% CPU27: 0.00% CPU28: 0.00% CPU29: 0.00% CPU30: 0.00% CPU31: 0.00% CPU32: 0.00% CPU33: 0.00% CPU34: 0.00% CPU35: 0.00% CPU36: 0.00% CPU37: 0.00% CPU38: 0.00% CPU39: 0.00% CPU40: 0.00% CPU41: 0.00% CPU42: 0.00% CPU43: 0.00% CPU44: 0.00% CPU45: 0.00% CPU46: 0.00% CPU47: 0.00% CPU48: 100.00% CPU49: 0.00% CPU50: 0.00% CPU51: 0.00% CPU52: 0.00% CPU53: 0.00% CPU54: 0.00% CPU55: 0.00% CPU56: 0.00% CPU57: 0.00% CPU58: 0.00% CPU59: 0.00% CPU60: 0.00% CPU61: 0.00% CPU62: 0.00% CPU63: 0.00% CPU64: 0.00% CPU65: 0.00% CPU66: 0.00% CPU67: 0.00% CPU68: 0.00% CPU69: 0.00% CPU70: 0.00% CPU71: 2.00%",Failed to initialize NVML: Driver/library version mismatch
